angular_velocity,sin,cos,epoch
7.507615909341909255e-01,-4.389980390068675686e-01,-8.610373059280429509e-01,1.784447901963999987e+09
7.902517838888358792e-01,-4.114438644245861920e-01,-8.385934232004035316e-01,1.784447901996999979e+09
8.274773441281710884e-01,-3.851536871235586301e-01,-8.164779908275074938e-01,1.784447902029999971e+09
8.625207783655370886e-01,-3.600792930763317412e-01,-7.947004577357372757e-01,1.784447902062999964e+09
8.954623666904255597e-01,-3.361740052004547619e-01,-7.732691499382451372e-01,1.784447902095999956e+09
9.263801955495993834e-01,-3.133926456022216311e-01,-7.521913347536532957e-01,1.784447902128999949e+09
9.553501916639690617e-01,-2.916914982477692431e-01,-7.314732821812350849e-01,1.784447902161999941e+09
9.824461567686186836e-01,-2.710282720855843874e-01,-7.111203235379059961e-01,1.784447902194999933e+09
1.007739803070138995e+00,-2.513620646421939608e-01,-6.911369074590831829e-01,1.784447902227999926e+09
1.031300789322416867e+00,-2.326533261106609740e-01,-6.715266533623178713e-01,1.784447902260999918e+09
1.053196757425782115e+00,-2.148638239495211377e-01,-6.522924024695313516e-01,1.784447902293999910e+09
1.073493369462939162e+00,-1.979566080078310475e-01,-6.334362664806263421e-01,1.784447902326999903e+09
1.092254345087668943e+00,-1.818959761902466110e-01,-6.149596739883385066e-01,1.784447902359999895e+09
1.109541499189107716e+00,-1.666474406742633474e-01,-5.968634147212967811e-01,1.784447902392999887e+09
1.125414779759013717e+00,-1.521776946902224648e-01,-5.791476816994607368e-01,1.784447902425999880e+09
1.139932305893695874e+00,-1.384545798731469102e-01,-5.618121113833809410e-01,1.784447902458999872e+09
1.153150405866371520e+00,-1.254470541940289063e-01,-5.448558218960519728e-01,1.784447902491999865e+09
1.165123655211631748e+00,-1.131251604768503949e-01,-5.282774493935422644e-01,1.784447902524999857e+09
1.175904914765284692e+00,-1.014599955064123815e-01,-5.120751826580483002e-01,1.784447902557999849e+09
1.185545368608758698e+00,-9.042367973080332744e-02,-4.962467959845666687e-01,1.784447902590999842e+09
1.194094561869805116e+00,-7.998932756126696242e-02,-4.807896804299840454e-01,1.784447902623999834e+09
1.201600438334595733e+00,-7.013101827119659626e-02,-4.657008734910376702e-01,1.784447902656999826e+09
1.208109377830739017e+00,-6.082376749502192703e-02,-4.509770872753637305e-01,1.784447902689999819e+09
