epoch,velocity,sin,cos
1784623567.2539999485,1.8374230033,-0.8523262565,0.5231666323
1784623567.2869999409,2.5027595141,-0.8120557978,0.5836533438
1784623567.3199999332,3.1081370382,-0.7538039126,0.6570957102
1784623567.3529999256,3.7453224490,-0.6738414730,0.7387293838
1784623567.3859999180,4.4873226650,-0.5663012172,0.8238270703
1784623567.4189999104,5.3932045461,-0.4233586792,0.9053902111
1784623567.4519999027,6.5064990156,-0.2363400901,0.9710829310
1784623567.4849998951,7.8435586210,0.0009195098,0.9997448931
1784623567.5179998875,9.3684137138,0.2845934807,0.9592905410
1784623567.5509998798,10.9557741781,0.5886217180,0.8110430997
1784623567.5839998722,12.3577178448,0.8537693514,0.5282524785
1784623567.6169998646,13.2255321787,0.9967399328,0.1282469335
1784623567.6499998569,13.2500886538,0.9555305297,-0.3092158466
1784623567.6829998493,12.3437321693,0.7406470815,-0.6754396103
1784623567.7159998417,10.7188496682,0.4323194107,-0.9016343047
1784623567.7489998341,8.7812365710,0.1219038007,-0.9905458081
1784623567.7819998264,6.9097465148,-0.1374080877,-0.9875851980
1784623567.8149998188,5.3362336940,-0.3335447148,-0.9393276583
1784623567.8479998112,4.1475462890,-0.4761752287,-0.8755133730
1784623567.8809998035,3.3352071444,-0.5805891613,-0.8098927421
1784623567.9139997959,2.8473081603,-0.6603157667,-0.7462709182
1784623567.9469997883,2.6248280936,-0.7252880811,-0.6834230202
1784623567.9799997807,2.6205242816,-0.7821345061,-0.6178637953
1784623568.0129997730,2.8059294976,-0.8348396426,-0.5450391479
1784623568.0459997654,3.1723879010,-0.8851260428,-0.4596016675
1784623568.0789997578,3.7296321717,-0.9323111223,-0.3552764608
1784623568.1119997501,4.5029500714,-0.9724578356,-0.2247474453
1784623568.1449997425,5.5277465935,-0.9966135224,-0.0601464158
1784623568.1779997349,6.8374550468,-0.9881151298,0.1447671749
1784623568.2109997272,8.4376841666,-0.9199413158,0.3888494349
1784623568.2439997196,10.2602938472,-0.7559932342,0.6524216206
1784623568.2769997120,12.1028671270,-0.4648987738,0.8835057041
1784623568.3099997044,13.5871923126,-0.0530637055,0.9974711890
1784623568.3429996967,14.2327948443,0.4026076837,0.9161387834
1784623568.3759996891,13.7121945466,0.7742327564,0.6376418711
1784623568.4089996815,12.0983196316,0.9705545686,0.2578909350
1784623568.4419996738,9.8488012944,0.9991448163,-0.1034159856
1784623568.4749996662,7.5103888766,0.9289175049,-0.3804299116
1784623568.5079996586,5.4629367480,0.8268363625,-0.5671617924
1784623568.5409996510,3.8692556434,0.7305216697,-0.6855257970
1784623568.5739996433,2.7339618377,0.6523091079,-0.7596744165
1784623568.6069996357,1.9849343941,0.5918320445,-0.8072144314
1784623568.6399996281,1.5325478272,0.5444687801,-0.8394378569
1784623568.6729996204,1.2984353666,0.5050207002,-0.8633260499
1784623568.7059996128,1.2251332390,0.4688755656,-0.8831263702
1784623568.7389996052,1.2768719896,0.4321227696,-0.9013839701
1784623568.7719995975,1.4372519178,0.3912705809,-0.9195752010
1784623568.8049995899,1.7066335851,0.3428189486,-0.9384192702
1784623568.8379995823,2.1004654762,0.2827908528,-0.9578867364
